"Sunset Valley Golf Club to turn a profit, despite wet-weather year",Karen Berkowitz,http://www.chicagotribune.com/suburbs/highland-park/ct-hpn-sunset-valley-golf-turns-profit-tl-1128-20191121-tzv4n7uokrgq5nznf4buaqmk4u-story.html
"Mayor Lori Lightfoot’s $11.65 billion budget advances despite criticism over uncertain revenue, progressive complaints over campaign promises",John Byrne,http://www.chicagotribune.com/politics/ct-lori-lightfoot-chicago-budget-advances-20191120-5uqqssqiina47o7vpotohsmnhm-story.html
Warrant issued for arrest of ex-husband of victim in Buffalo Grove double murders,Anna Kim,http://www.chicagotribune.com/suburbs/buffalo-grove/ct-bgc-arrest-warrant-double-homicide-tl-1128-20191120-rlyi6m32mrelvnev66qwca6e3q-story.html
